GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0047PE,DP05_0055PE,DP05_0060PE,DP05_0061PE
1400000U,06037128400,Census Tract 1284; Los Angeles County; California,2268,428,20,326,10,395,827,53.1,10,0.5,7.6,0.2,9.2,19.3
1400000U,06037128500,Census Tract 1285; Los Angeles County; California,2686,145,14,299,0,726,531,61,3.3,0.3,6.8,0,16.5,12.1
1400000U,06037128601,Census Tract 1286.01; Los Angeles County; California,1793,389,192,136,25,608,1699,37,8,4,2.8,0.5,12.6,35.1
1400000U,06037128602,Census Tract 1286.02; Los Angeles County; California,1689,141,1,145,0,236,475,62.9,5.2,0,5.4,0,8.8,17.7
1400000U,06037128703,Census Tract 1287.03; Los Angeles County; California,2195,575,19,159,0,99,529,61.4,16.1,0.5,4.4,0,2.8,14.8
1400000U,06037128704,Census Tract 1287.04; Los Angeles County; California,1728,63,16,221,0,114,186,74.2,2.7,0.7,9.5,0,4.9,8
1400000U,06037128801,Census Tract 1288.01; Los Angeles County; California,2324,294,43,443,16,142,602,60.1,7.6,1.1,11.5,0.4,3.7,15.6
1400000U,06037128802,Census Tract 1288.02; Los Angeles County; California,2400,465,0,737,17,271,427,55.6,10.8,0,17.1,0.4,6.3,9.9
1400000U,06037128910,Census Tract 1289.10; Los Angeles County; California,2809,115,17,435,0,390,762,62,2.5,0.4,9.6,0,8.6,16.8
1400000U,06037131021,Census Tract 1310.21; Los Angeles County; California,870,218,20,335,120,1517,157,26.9,6.7,0.6,10.3,3.7,46.9,4.9
1400000U,06037131022,Census Tract 1310.22; Los Angeles County; California,813,110,110,483,0,1004,357,28.3,3.8,3.8,16.8,0,34.9,12.4
1400000U,06037131023,Census Tract 1310.23; Los Angeles County; California,862,117,0,344,0,1072,260,32.5,4.4,0,13,0,40.4,9.8
1400000U,06037131024,Census Tract 1310.24; Los Angeles County; California,985,356,75,439,0,1909,130,25.3,9.1,1.9,11.3,0,49,3.3
1400000U,06037131100,Census Tract 1311; Los Angeles County; California,1486,6,0,298,0,1003,224,49.3,0.2,0,9.9,0,33.2,7.4
1400000U,06037131200,Census Tract 1312; Los Angeles County; California,2203,150,50,268,13,774,223,59.8,4.1,1.4,7.3,0.4,21,6.1
1400000U,06037131300,Census Tract 1313; Los Angeles County; California,786,121,1,709,0,1836,863,18.2,2.8,0,16.4,0,42.5,20
1400000U,06037131400,Census Tract 1314; Los Angeles County; California,2128,125,210,838,38,1278,1278,36.1,2.1,3.6,14.2,0.6,21.7,21.7
1400000U,06037131600,Census Tract 1316; Los Angeles County; California,1153,398,27,883,0,1628,853,23.3,8.1,0.5,17.9,0,32.9,17.3
1400000U,06037131701,Census Tract 1317.01; Los Angeles County; California,1876,269,0,1219,0,1142,371,38.5,5.5,0,25,0,23.4,7.6
1400000U,06037131702,Census Tract 1317.02; Los Angeles County; California,1321,178,70,426,0,994,680,36,4.9,1.9,11.6,0,27.1,18.5
1400000U,06037131801,Census Tract 1318.01; Los Angeles County; California,628,35,0,565,0,1302,349,21.8,1.2,0,19.6,0,45.2,12.1
1400000U,06037131802,Census Tract 1318.02; Los Angeles County; California,770,254,11,352,0,615,335,32.9,10.9,0.5,15.1,0,26.3,14.3
1400000U,06037131900,Census Tract 1319; Los Angeles County; California,1714,19,13,485,0,1080,648,43.3,0.5,0.3,12.3,0,27.3,16.4
1400000U,06037132001,Census Tract 1320.01; Los Angeles County; California,1127,130,108,369,0,564,416,41.5,4.8,4,13.6,0,20.8,15.3
1400000U,06037132002,Census Tract 1320.02; Los Angeles County; California,1550,96,113,88,0,964,774,43.2,2.7,3.2,2.5,0,26.9,21.6
1400000U,06037132101,Census Tract 1321.01; Los Angeles County; California,1590,135,0,166,0,566,1656,38.7,3.3,0,4,0,13.8,40.3
1400000U,06037132102,Census Tract 1321.02; Los Angeles County; California,2320,168,31,847,0,1036,591,46.5,3.4,0.6,17,0,20.7,11.8
1400000U,06037132301,Census Tract 1323.01; Los Angeles County; California,986,499,89,576,0,1147,319,27.3,13.8,2.5,15.9,0,31.7,8.8
1400000U,06037132302,Census Tract 1323.02; Los Angeles County; California,1244,96,20,620,0,1043,153,39.2,3,0.6,19.5,0,32.8,4.8
1400000U,06037132501,Census Tract 1325.01; Los Angeles County; California,1483,141,0,325,0,2217,492,31.8,3,0,7,0,47.6,10.6
1400000U,06037132502,Census Tract 1325.02; Los Angeles County; California,2055,43,0,226,0,716,358,60.5,1.3,0,6.7,0,21.1,10.5
1400000U,06037132700,Census Tract 1327; Los Angeles County; California,1932,185,0,236,50,1978,541,39.3,3.8,0,4.8,1,40.2,11
1400000U,06037132900,Census Tract 1329; Los Angeles County; California,2314,38,96,334,0,700,395,59.7,1,2.5,8.6,0,18.1,10.2
1400000U,06037133000,Census Tract 1330; Los Angeles County; California,1825,47,0,222,4,1195,803,44.6,1.1,0,5.4,0.1,29.2,19.6
1400000U,06037133101,Census Tract 1331.01; Los Angeles County; California,1175,34,14,63,0,159,264,68.8,2,0.8,3.7,0,9.3,15.4
1400000U,06037133102,Census Tract 1331.02; Los Angeles County; California,2120,33,84,700,0,824,165,54,0.8,2.1,17.8,0,21,4.2
1400000U,06037134001,Census Tract 1340.01; Los Angeles County; California,683,203,38,391,0,1693,449,19.8,5.9,1.1,11.3,0,49,13
1400000U,06037134002,Census Tract 1340.02; Los Angeles County; California,1009,194,27,326,0,1879,589,25.1,4.8,0.7,8.1,0,46.7,14.6
1400000U,06037134101,Census Tract 1341.01; Los Angeles County; California,1199,67,86,1930,0,915,463,25.7,1.4,1.8,41.4,0,19.6,9.9
1400000U,06037134103,Census Tract 1341.03; Los Angeles County; California,1164,192,64,654,0,1600,498,27.9,4.6,1.5,15.7,0,38.4,11.9
1400000U,06037134104,Census Tract 1341.04; Los Angeles County; California,987,150,64,1444,37,794,600,24.2,3.7,1.6,35.4,0.9,19.5,14.7
1400000U,06037134201,Census Tract 1342.01; Los Angeles County; California,997,87,0,1441,12,1177,348,24.5,2.1,0,35.5,0.3,29,8.6
1400000U,06037134302,Census Tract 1343.02; Los Angeles County; California,1761,103,23,998,0,1107,419,39.9,2.3,0.5,22.6,0,25.1,9.5
1400000U,06037134303,Census Tract 1343.03; Los Angeles County; California,2932,18,0,1067,0,928,510,53.7,0.3,0,19.6,0,17,9.3
1400000U,06037134304,Census Tract 1343.04; Los Angeles County; California,1194,158,6,432,0,837,236,41.7,5.5,0.2,15.1,0,29.2,8.2
1400000U,06037134305,Census Tract 1343.05; Los Angeles County; California,507,39,50,316,0,2415,366,13.7,1.1,1.4,8.6,0,65.4,9.9
1400000U,06037134306,Census Tract 1343.06; Los Angeles County; California,1117,216,0,825,0,1373,168,30.2,5.8,0,22.3,0,37.1,4.5
1400000U,06037134421,Census Tract 1344.21; Los Angeles County; California,2890,83,18,640,0,7,763,65.7,1.9,0.4,14.5,0,0.2,17.3
1400000U,06037134422,Census Tract 1344.22; Los Angeles County; California,2990,221,0,1000,0,406,462,58.9,4.4,0,19.7,0,8,9.1
1400000U,06037134423,Census Tract 1344.23; Los Angeles County; California,2413,0,40,623,0,82,259,70.6,0,1.2,18.2,0,2.4,7.6
1400000U,06037134424,Census Tract 1344.24; Los Angeles County; California,1992,107,0,547,0,26,163,70.3,3.8,0,19.3,0,0.9,5.7
1400000U,06037134520,Census Tract 1345.20; Los Angeles County; California,924,296,0,734,0,2027,1197,17.8,5.7,0,14.2,0,39.1,23.1
