GEO_ID,FIPS,Total population
1400000U,6037275200,3793
1400000U,6037275311,4805
1400000U,6037275312,2042
1400000U,6037275313,3583
1400000U,6037275400,4487
1400000U,6037275500,5102
1400000U,6037275603,2778
1400000U,6037275604,10392
1400000U,6037275605,2878
1400000U,6037276000,6682
1400000U,6037276101,3424
1400000U,6037276102,3365
1400000U,6037276400,4448
1400000U,6037276500,5508
1400000U,6037276601,4101
1400000U,6037276605,2461
1400000U,6037276606,3384
1400000U,6037276607,2879
1400000U,6037276608,1874
1400000U,6037277000,6014
1400000U,6037277100,3285
1400000U,6037277200,1796
1400000U,6037277400,0
1400000U,6037278001,2349
1400000U,6037278102,2973
1400000U,6037291110,4192
1400000U,6037291120,2041
1400000U,6037291130,3233
1400000U,6037291210,4766
1400000U,6037291220,2942
1400000U,6037291300,3025
1400000U,6037292001,4511
1400000U,6037292002,1968
1400000U,6037293203,2785
1400000U,6037293204,3694
1400000U,6037293205,3372
1400000U,6037293206,2696
1400000U,6037293301,2556
1400000U,6037293302,4496
1400000U,6037293304,4796
1400000U,6037293306,2424
1400000U,6037293307,2532
1400000U,6037294110,3866
1400000U,6037294120,2618
1400000U,6037294200,4306
1400000U,6037294301,2798
1400000U,6037294302,4490
1400000U,6037294410,5142
1400000U,6037294421,2694
