GEO_ID,FIPS,NAME,S1903_C03_001E
1400000U,6037131023,Census Tract 1310.23; Los Angeles County; California,74954
1400000U,6037131024,Census Tract 1310.24; Los Angeles County; California,97083
1400000U,6037131100,Census Tract 1311; Los Angeles County; California,107500
1400000U,6037131200,Census Tract 1312; Los Angeles County; California,130500
1400000U,6037131300,Census Tract 1313; Los Angeles County; California,93594
1400000U,6037131400,Census Tract 1314; Los Angeles County; California,101500
1400000U,6037131600,Census Tract 1316; Los Angeles County; California,84773
1400000U,6037131701,Census Tract 1317.01; Los Angeles County; California,76326
1400000U,6037131702,Census Tract 1317.02; Los Angeles County; California,70962
1400000U,6037131801,Census Tract 1318.01; Los Angeles County; California,60185
1400000U,6037131802,Census Tract 1318.02; Los Angeles County; California,96742
1400000U,6037131900,Census Tract 1319; Los Angeles County; California,135442
1400000U,6037132001,Census Tract 1320.01; Los Angeles County; California,116167
1400000U,6037132002,Census Tract 1320.02; Los Angeles County; California,106890
1400000U,6037132101,Census Tract 1321.01; Los Angeles County; California,71932
1400000U,6037132102,Census Tract 1321.02; Los Angeles County; California,74313
1400000U,6037132301,Census Tract 1323.01; Los Angeles County; California,60517
1400000U,6037132302,Census Tract 1323.02; Los Angeles County; California,108492
1400000U,6037132501,Census Tract 1325.01; Los Angeles County; California,91231
1400000U,6037132502,Census Tract 1325.02; Los Angeles County; California,61354
1400000U,6037132700,Census Tract 1327; Los Angeles County; California,81625
1400000U,6037132900,Census Tract 1329; Los Angeles County; California,102825
1400000U,6037133000,Census Tract 1330; Los Angeles County; California,100385
1400000U,6037133101,Census Tract 1331.01; Los Angeles County; California,109211
1400000U,6037133102,Census Tract 1331.02; Los Angeles County; California,60741
1400000U,6037134001,Census Tract 1340.01; Los Angeles County; California,90625
1400000U,6037134002,Census Tract 1340.02; Los Angeles County; California,72901
1400000U,6037134101,Census Tract 1341.01; Los Angeles County; California,92130
1400000U,6037134103,Census Tract 1341.03; Los Angeles County; California,78750
1400000U,6037134104,Census Tract 1341.04; Los Angeles County; California,72866
1400000U,6037134201,Census Tract 1342.01; Los Angeles County; California,99545
1400000U,6037134302,Census Tract 1343.02; Los Angeles County; California,124779
1400000U,6037134303,Census Tract 1343.03; Los Angeles County; California,109063
1400000U,6037134304,Census Tract 1343.04; Los Angeles County; California,75104
1400000U,6037134305,Census Tract 1343.05; Los Angeles County; California,55042
1400000U,6037134306,Census Tract 1343.06; Los Angeles County; California,53170
1400000U,6037134421,Census Tract 1344.21; Los Angeles County; California,145048
1400000U,6037134422,Census Tract 1344.22; Los Angeles County; California,168889
1400000U,6037134423,Census Tract 1344.23; Los Angeles County; California,134018
1400000U,6037134424,Census Tract 1344.24; Los Angeles County; California,153946
1400000U,6037134520,Census Tract 1345.20; Los Angeles County; California,55271
1400000U,6037134521,Census Tract 1345.21; Los Angeles County; California,53413
1400000U,6037134522,Census Tract 1345.22; Los Angeles County; California,56402
1400000U,6037134710,Census Tract 1347.10; Los Angeles County; California,54715
1400000U,6037134720,Census Tract 1347.20; Los Angeles County; California,103553
1400000U,6037134801,Census Tract 1348.01; Los Angeles County; California,94559
1400000U,6037134802,Census Tract 1348.02; Los Angeles County; California,80547
1400000U,6037134901,Census Tract 1349.01; Los Angeles County; California,82435
1400000U,6037134904,Census Tract 1349.04; Los Angeles County; California,98173
1400000U,6037134905,Census Tract 1349.05; Los Angeles County; California,101628
1400000U,6037134906,Census Tract 1349.06; Los Angeles County; California,86275
1400000U,6037134907,Census Tract 1349.07; Los Angeles County; California,92020
1400000U,6037135102,Census Tract 1351.02; Los Angeles County; California,154070
1400000U,6037135111,Census Tract 1351.11; Los Angeles County; California,101157
1400000U,6037135113,Census Tract 1351.13; Los Angeles County; California,112552
1400000U,6037135115,Census Tract 1351.15; Los Angeles County; California,100108
1400000U,6037135116,Census Tract 1351.16; Los Angeles County; California,58750
1400000U,6037135201,Census Tract 1352.01; Los Angeles County; California,127917
1400000U,6037135202,Census Tract 1352.02; Los Angeles County; California,133839
1400000U,6037135204,Census Tract 1352.04; Los Angeles County; California,128359
1400000U,6037135205,Census Tract 1352.05; Los Angeles County; California,117031
1400000U,6037137000,Census Tract 1370; Los Angeles County; California,125938
1400000U,6037137103,Census Tract 1371.03; Los Angeles County; California,85234
1400000U,6037137104,Census Tract 1371.04; Los Angeles County; California,107153
